,app_id,NPS,response_content,response_unhappy,response_friendly,APL_SEX,APL_BIRTHYEAR,APL_FREEZE_AVAILABLE_INCOME
0,18683842,-100,85,20,85,M,1969-01-01 00:00:00,3408.36
1,21406925,100,85,1,85,M,1985-01-01 00:00:00,2519
2,21406925,100,85,1,85,F,1988-01-01 00:00:00,1400
3,100524024,100,75,20,85,M,1983-01-01 00:00:00,3500
4,19866647,100,85,0,85,M,1987-01-01 00:00:00,4264.67
5,101311723,100,85,75,75,F,1983-01-01 00:00:00,4448.16
6,100367371,100,85,0,85,F,1977-01-01 00:00:00,0
7,100367371,100,85,0,85,M,1975-01-01 00:00:00,3850
8,22115722,100,95,5,85,F,1977-01-01 00:00:00,2910.42
9,22115722,100,95,5,85,M,1973-01-01 00:00:00,2979.17
10,101068801,0,85,20,85,F,1964-01-01 00:00:00,2800
11,101068801,0,85,20,85,M,1968-01-01 00:00:00,3763
12,20980314,100,85,5,85,F,1980-01-01 00:00:00,4668
13,100170763,0,85,5,85,M,1956-01-01 00:00:00,2988.18
14,100170763,0,85,5,85,F,1957-01-01 00:00:00,1431.6
15,100849048,100,-100,35,85,F,1982-01-01 00:00:00,5000
16,100849048,100,-100,35,85,F,1985-01-01 00:00:00,
17,20292782,0,85,5,85,M,1970-01-01 00:00:00,6230
18,19244079,100,85,1,85,M,1959-01-01 00:00:00,3131
19,19244079,100,85,1,85,F,1961-01-01 00:00:00,440
20,20906818,100,85,1,85,M,1984-01-01 00:00:00,4196
21,20906818,100,85,1,85,F,1991-01-01 00:00:00,3224
22,101492930,0,45,85,65,F,1962-01-01 00:00:00,1750
23,100383179,0,45,75,85,F,,2300
24,100383179,0,45,75,85,M,,
25,21766699,0,85,20,85,M,1983-01-01 00:00:00,6000
26,6863250,100,85,5,85,F,1967-01-01 00:00:00,2583.87
27,20465056,100,85,5,95,M,1976-01-01 00:00:00,2352.89
28,100610016,100,85,20,85,F,1959-01-01 00:00:00,1884.64
29,21900415,100,75,85,85,F,1973-01-01 00:00:00,3152.81
30,20275274,100,95,1,85,M,1958-01-01 00:00:00,1794.73
31,20275274,100,95,1,85,F,1962-01-01 00:00:00,1511.77
32,20936500,100,95,1,95,F,1989-01-01 00:00:00,1939
33,20936500,100,95,1,95,M,1990-01-01 00:00:00,1893.57
34,22018179,100,75,5,85,F,1984-01-01 00:00:00,3200
35,19871004,100,85,20,85,M,1966-01-01 00:00:00,1625.47
36,21183435,100,45,85,65,F,1965-01-01 00:00:00,3229.59
37,100031516,100,85,5,85,M,1983-01-01 00:00:00,2916.67
38,100031516,100,85,5,85,F,1985-01-01 00:00:00,1583.71
39,100546902,100,85,65,75,F,1956-01-01 00:00:00,1002.07
40,100546902,100,85,65,75,M,1954-01-01 00:00:00,2054.01
41,101079583,0,85,20,85,M,1961-01-01 00:00:00,
42,101079583,0,85,20,85,F,1963-01-01 00:00:00,
43,13253858,100,85,5,85,F,1983-01-01 00:00:00,29604.67
44,13253858,100,85,5,85,M,1976-01-01 00:00:00,3350.8
45,100419003,100,85,20,85,M,1992-01-01 00:00:00,3109.17
46,100419003,100,85,20,85,F,1983-01-01 00:00:00,2580
47,100740897,100,-100,-100,85,M,,0
48,100740897,100,-100,-100,85,,,0
49,9070757,100,85,5,85,M,1976-01-01 00:00:00,2654
50,9070757,100,85,5,85,F,1982-01-01 00:00:00,1111.31
51,100227440,100,85,5,85,,,2300
52,100227440,100,85,5,85,F,1989-01-01 00:00:00,2940.02
53,17939414,100,95,5,85,M,1975-01-01 00:00:00,4666.11
